title,scriptUrl,languageName,bestPublicScore,isGpuEnabled,lastRunExecutionTimeSeconds,medal,totalComments,totalForks,totalViews,totalVotes,beginner,classification,data cleaning,data visualization,decision tree,deep learning,eda,ensembling,feature engineering,gradient boosting,lgbt,optimization,pipeline code,regression,regression analysis,starter code,tabular data,tutorial,utility script
ASHRAE - Step by Step EDA,https://www.kaggle.com/aravindankrishnan/ashrae-step-by-step-eda,Python,,False,1137,bronze,10,0,0,26,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Public Blend,https://www.kaggle.com/aleksthegreat/public-blend,Python,0.98,False,380,silver,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simple Linear Regression Benchmark,https://www.kaggle.com/tunguz/simple-linear-regression-benchmark,Python,3.813,False,600,gold,15,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE Heatmaps,https://www.kaggle.com/jtrotman/ashrae-heatmaps,Python,,False,106,bronze,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCB: Data Leakage (Site 4 - 81 buildings),https://www.kaggle.com/serengil/ucb-data-leakage-site-4-81-buildings,Python,,False,283,gold,44,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Another 1.08 LB no leak,https://www.kaggle.com/ragnar123/another-1-08-lb-no-leak,Python,1.08,False,9315,silver,12,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
🔥ASHRAE - LightGBM / process + data visualization,https://www.kaggle.com/drexpz/ashrae-lightgbm-process-data-visualization,Python,1.37,False,8213,bronze,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE WeatheR Analysis with OpenAir,https://www.kaggle.com/nicapotato/ashrae-weather-analysis-with-openair,R,,False,470,silver,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - lgb starter for R with imputation,https://www.kaggle.com/mayer79/ashrae-lgb-starter-for-r-with-imputation,R,1.17,False,3091,bronze,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Simple preprocessing & LSTM,https://www.kaggle.com/sundayprogrammer/ashrae-simple-preprocessing-lstm,Python,,False,148,bronze,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Locate cities according weather temperature🌇,https://www.kaggle.com/patrick0302/locate-cities-according-weather-temperature,Python,,False,31,gold,43,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adversarial ASHRAE,https://www.kaggle.com/tunguz/adversarial-ashrae,Python,,False,92,silver,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[ASHRAE] NGBoost [Simple Application],https://www.kaggle.com/hanjoonchoe/ashrae-ngboost-simple-application,Python,,False,1727,bronze,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - GEP III - RMS_NB,https://www.kaggle.com/remisharoon/ashrae-gep-iii-rms-nb,Python,1.1,False,4858,,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategy evaluation: What helps and by how much?,https://www.kaggle.com/purist1024/strategy-evaluation-what-helps-and-by-how-much,Python,,False,2714,gold,25,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starter ⚡ Great Energy Predictor ,https://www.kaggle.com/jesucristo/starter-great-energy-predictor,Python,1.3599999999999999,False,3655,gold,7,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leak Validation - Constrained Heuristic Search I ,https://www.kaggle.com/khoongweihao/leak-validation-constrained-heuristic-search-i,Python,0.97,False,7713,bronze,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE LGBM T2,https://www.kaggle.com/josecarmona/ashrae-lgbm-t2,Python,1.159,False,6321,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashrae: Maybe this can make public LB some useful ,https://www.kaggle.com/wentixiaogege/ashrae-maybe-this-can-make-public-lb-some-useful,Python,1.01,False,831,bronze,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDA+RF: ASHRAE - Great Energy Predictor,https://www.kaggle.com/aldrinl/eda-rf-ashrae-great-energy-predictor,Python,1.439,False,1136,bronze,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL: Data Leakage (Episode 2),https://www.kaggle.com/mpware/ucl-data-leakage-episode-2,Python,,False,899,silver,10,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE AirTemperature,https://www.kaggle.com/ccjoshua/ashrae-airtemperature,Python,,False,41,bronze,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Deep exploratory data analysis,https://www.kaggle.com/corochann/ashrae-deep-exploratory-data-analysis,Python,,False,306,,0,0,0,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
ASHRAE_DataGenerator_LSTM,https://www.kaggle.com/drcapa/ashrae-datagenerator-lstm,Python,3.22,False,31721,bronze,1,0,0,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
ASHRAE EDA and 104 Models,https://www.kaggle.com/rahullalu/ashrae-eda-and-104-models,Python,1.42,False,19550,bronze,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - LightGBM 1.048 (No Leak),https://www.kaggle.com/gunesevitan/ashrae-lightgbm-1-048-no-leak,Python,1.388,False,9379,bronze,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE: Weather features are not in local time,https://www.kaggle.com/jimeno/ashrae-weather-features-are-not-in-local-time,Python,,False,20,silver,7,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best NA Imputation and EDA ASHRAE 3,https://www.kaggle.com/python10pm/best-na-imputation-and-eda-ashrae-3,Python,,False,239,bronze,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE - Automatic FE: Featuretools & Selection FE,https://www.kaggle.com/vbmokin/ashrae-automatic-fe-featuretools-selection-fe,Python,,False,181,bronze,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHRAE lightGBM without Leak Data,https://www.kaggle.com/mimoudata/ashrae-lightgbm-without-leak-data,R,1.09,False,12694,bronze,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean weather data +EDA,https://www.kaggle.com/hmendonca/clean-weather-data-eda,Python,,False,1549,silver,10,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCF Data: Limited leakage,https://www.kaggle.com/mpware/ucf-data-limited-leakage,Python,,False,479,silver,20,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashrae-great-energy-3_verification_after_predict,https://www.kaggle.com/takiyu/ashrae-great-energy-3-verification-after-predict,Python,,False,3538,,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA-ashrae,https://www.kaggle.com/luisfer/mia-ashrae,Python,1.8780000000000001,True,1508,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aligning Temperature Timestamp,https://www.kaggle.com/frednavruzov/aligning-temperature-timestamp,Python,,False,110,silver,8,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
